age,g,gs,mp,fg,fga,fg_pct,fg_pct_1,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pos_C,pos_PF,pos_PF-SF,pos_PG,pos_SF,pos_SF-SG,pos_SG,pos_SG-PG,pos_nan,tm_ATL,tm_BOS,tm_BRK,tm_CHI,tm_CHO,tm_CLE,tm_DAL,tm_DEN,tm_DET,tm_GSW,tm_HOU,tm_IND,tm_LAC,tm_LAL,tm_MEM,tm_MIA,tm_MIL,tm_MIN,tm_NOP,tm_NYK,tm_OKC,tm_ORL,tm_PHI,tm_PHO,tm_POR,tm_SAC,tm_SAS,tm_TOR,tm_TOT,tm_UTA,tm_WAS,tm_nan,performance_Bad,performance_Good,performance_nan
34.0,59.0,11.0,22.0,2.1,5.0,0.418,418.0,1.6,4.1,0.384,0.5,0.9,0.564,0.574,0.5,0.7,0.667,0.9,3.3,4.2,1.5,0.6,0.7,0.7,2.0,6.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
22.0,36.0,1.0,15.4,2.0,4.4,0.449,449.0,0.5,1.3,0.4,1.5,3.1,0.469,0.506,1.0,1.8,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
29.0,38.0,38.0,33.0,8.7,16.8,0.515,515.0,1.7,4.6,0.371,6.9,12.2,0.569,0.566,3.7,4.4,0.839,0.8,2.8,3.6,5.3,0.9,0.7,2.8,1.9,22.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
26.0,60.0,16.0,26.6,4.8,12.2,0.396,396.0,3.1,8.6,0.359,1.7,3.6,0.484,0.523,0.6,0.8,0.787,0.5,3.1,3.5,1.7,0.9,0.1,1.1,1.5,13.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
26.0,55.0,13.0,26.8,4.8,12.2,0.396,396.0,3.1,8.6,0.359,1.7,3.6,0.485,0.522,0.7,0.8,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
26.0,5.0,3.0,24.2,5.0,12.8,0.391,391.0,3.4,9.277,0.362,1.6,3.4,0.471,0.523,0.0,0.6,0.0,0.0,2.6,2.6,1.6,1.7769999999999981,0.0,1.4,2.4,13.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
22.0,39.0,9.0,14.6,2.1,5.2,0.396,396.0,1.0,3.1,0.319,1.1,2.1,0.506,0.49,0.5,0.7,0.724,0.9,1.5,2.4,0.7,0.5,0.1,0.9,1.5,5.6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30.0,34.0,0.0,10.6,1.4,3.3,0.423,423.0,1.1,2.9,0.381,0.3,0.4,0.714,0.59,0.3,0.4,0.833,0.2,0.8,0.9,0.4,0.2,0.1,0.3,1.1,4.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
34.0,47.0,47.0,26.8,2.1,5.3,0.398,398.0,1.2,3.5,0.341,0.9,1.8,0.506,0.51,0.9,1.2,0.764,0.6,2.6,3.2,2.6,0.9,0.6,0.9,2.7,6.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
34.0,45.0,45.0,26.9,2.2,5.4,0.402,402.0,1.2,3.5,0.348,0.9,1.8,0.506,0.517,0.9,1.1,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
34.0,2.0,2.0,24.0,1.0,4.0,0.25,250.0,0.5,3.0,0.167,0.5,1.0,0.5,0.313,1.5,2.5,0.6,1.0,4.0,5.0,2.5,0.0,0.5,1.0,2.5,4.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
23.0,56.0,32.0,28.6,4.6,11.3,0.407,407.0,2.0,5.5,0.358,2.6,5.8,0.454,0.494,3.3,3.8,0.863,1.1,3.5,4.6,1.5,0.9,0.2,1.0,1.6,14.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
23.0,52.0,30.0,28.8,4.7,11.7,0.404,404.0,1.9,5.6,0.345,2.8,6.0,0.46,0.488,3.5,4.0,0.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
23.0,4.0,2.0,24.8,3.3,7.0,0.464,464.0,2.5,4.3,0.588,0.8,2.8,0.273,0.643,0.8,0.8,0.001,1.3,3.3,4.5,0.5,0.5,0.3,1.0,1.3,9.8,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30.0,20.0,0.0,8.1,1.0,1.6,0.594,594.0,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
23.0,22.0,0.0,9.6,1.3,2.5,0.527,527.0,0.2,0.7,0.333,1.1,1.8,0.6,0.573,0.5,1.1,0.48,1.2,1.3,2.5,0.9,0.4,0.5,0.5,1.6,3.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
23.0,21.0,0.0,9.6,1.3,2.5,0.519,519.0,0.2,0.7,0.286,1.1,1.8,0.605,0.558,0.5,1.1,0.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
23.0,1.0,0.0,9.0,2.0,3.0,0.667,667.0,1.0,1.0,0.001,1.0,2.0,0.5,0.833,1.0,1.0,0.001,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
30.0,46.0,9.0,14.0,1.7,3.0,0.572,572.0,0.0,0.0,0.3445,1.7,3.0,0.572,0.572,0.3,1.1,0.314,1.1,3.0,4.1,0.9,0.3,1.3,0.9,1.8,3.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
23.0,1.0,0.0,2.069,0.0,0.523,0.4525,0.0,0.0,0.0,0.3445,0.0,0.0,0.527,0.534,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30.0,36.0,5.0,29.6,5.4,12.3,0.437,437.0,2.8,7.1,0.394,2.6,5.3,0.495,0.55,1.1,1.4,0.78,0.4,3.0,3.4,3.0,0.9,0.3,1.3,1.7,14.6,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
33.0,58.0,58.0,31.9,7.2,14.8,0.487,487.0,2.4,5.9,0.402,4.9,9.0,0.542,0.566,4.6,5.2,0.883,0.6,3.2,3.7,2.6,0.6,0.1,2.3,1.9,21.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
23.0,57.0,32.0,22.9,4.2,7.2,0.577,577.0,0.5,1.5,0.322,3.7,5.7,0.645,0.611,1.2,1.6,0.745,1.1,4.9,6.1,0.8,0.4,1.3,1.7,1.3,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
22.0,14.0,0.0,4.9,0.2,1.4,0.15,150.0,0.0,0.3,0.0,0.2,1.1,0.188,0.15,0.0,0.0,0.75,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
